Rank,Company,Instagram URL,Niche,Lead Score,First DM,Follow-Up DM
1,"Aesthetik Studio PH",https://instagram.com/aesthetikstudioph,"Beauty studio needing booking system",60,"Hey Aesthetik! 👋 I love what Aesthetik Studio PH is doing in the Beauty studio needing booking system space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Aesthetik Studio PH grow? 🚀","Hi Aesthetik! Just following up on my previous message. We've helped similar Beauty studio needing booking system businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Aesthetik Studio PH! 💡"
2,"Urban Threads PH",https://instagram.com/urbanthreadsph,"Fashion brand needing e-commerce",60,"Hey Urban! 👋 I love what Urban Threads PH is doing in the Fashion brand needing e-commerce space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Urban Threads PH grow? 🚀","Hi Urban! Just following up on my previous message. We've helped similar Fashion brand needing e-commerce businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Urban Threads PH! 💡"
3,"Cafe Culture PH",https://instagram.com/cafecultureph,"Cafe chain needing loyalty app",60,"Hey Cafe! 👋 I love what Cafe Culture PH is doing in the Cafe chain needing loyalty app space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Cafe Culture PH grow? 🚀","Hi Cafe! Just following up on my previous message. We've helped similar Cafe chain needing loyalty app businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Cafe Culture PH! 💡"
4,"Pet Palace PH",https://instagram.com/petpalaceph,"Pet hotel needing booking system",60,"Hey Pet! 👋 I love what Pet Palace PH is doing in the Pet hotel needing booking system space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Pet Palace PH grow? 🚀","Hi Pet! Just following up on my previous message. We've helped similar Pet hotel needing booking system businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Pet Palace PH! 💡"
5,"Urban Gym PH",https://instagram.com/urbangymph,"Gym needing class booking system",60,"Hey Urban! 👋 I love what Urban Gym PH is doing in the Gym needing class booking system space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Urban Gym PH grow? 🚀","Hi Urban! Just following up on my previous message. We've helped similar Gym needing class booking system businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Urban Gym PH! 💡"
6,"Fresh Bake PH",https://instagram.com/freshbakeph,"Bakery needing online ordering",60,"Hey Fresh! 👋 I love what Fresh Bake PH is doing in the Bakery needing online ordering space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Fresh Bake PH grow? 🚀","Hi Fresh! Just following up on my previous message. We've helped similar Bakery needing online ordering businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Fresh Bake PH! 💡"
7,"Style Hub PH",https://instagram.com/stylehubph,"Fashion boutique needing e-commerce",60,"Hey Style! 👋 I love what Style Hub PH is doing in the Fashion boutique needing e-commerce space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Style Hub PH grow? 🚀","Hi Style! Just following up on my previous message. We've helped similar Fashion boutique needing e-commerce businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Style Hub PH! 💡"
8,"Wellness Center PH",https://instagram.com/wellnesscenterph,"Wellness center needing booking platform",60,"Hey Wellness! 👋 I love what Wellness Center PH is doing in the Wellness center needing booking platform space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Wellness Center PH grow? 🚀","Hi Wellness! Just following up on my previous message. We've helped similar Wellness center needing booking platform businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Wellness Center PH! 💡"
9,"Creative Hub PH",https://instagram.com/creativehubph,"Co-working space needing desk booking",60,"Hey Creative! 👋 I love what Creative Hub PH is doing in the Co-working space needing desk booking space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Creative Hub PH grow? 🚀","Hi Creative! Just following up on my previous message. We've helped similar Co-working space needing desk booking businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Creative Hub PH! 💡"
10,"Glow Beauty PH",https://instagram.com/glowbeautyph,"Beauty brand needing online store",60,"Hey Glow! 👋 I love what Glow Beauty PH is doing in the Beauty brand needing online store space. I'm Robert James from STRUKKD LABS - we build custom software for businesses like yours. Would you be open to chatting about how we could help Glow Beauty PH grow? 🚀","Hi Glow! Just following up on my previous message. We've helped similar Beauty brand needing online store businesses increase their online presence by 50% with custom booking systems and e-commerce platforms. Would love to share some ideas specific to Glow Beauty PH! 💡"
